"...1","filename","TeamId","TeamName","UserId","UserName","DisplayName","RegisterDate","PerformanceTier","SubmissionDate","Score"
37,"aptos2019-blindness-detection-privateleaderboard.csv",3383775,"Q",2764727,"quanqiu","Quan Qiu","01/31/2019",3,2019-09-05 17:07:35,0.930508
50,"aptos2019-blindness-detection-privateleaderboard.csv",3578692,"NO GPU",3300353,"pegasos","Sh1r0","06/01/2019",2,2019-09-07 23:27:09,0.929032
51,"aptos2019-blindness-detection-privateleaderboard.csv",3339296,"DungNB",1393170,"nguyenbadung","DungNB","11/06/2017",4,2019-09-07 02:27:57,0.928643
53,"aptos2019-blindness-detection-privateleaderboard.csv",3417172,"Soongja & JJShadow",1153892,"rvslight","JJShadow","07/04/2017",3,2019-09-07 13:55:59,0.92851
54,"aptos2019-blindness-detection-privateleaderboard.csv",3459925,"[ods.ai] Eye of Providence",1192776,"bolkonsky","YuryBolkonsky","07/30/2017",4,2019-09-07 18:55:50,0.928007
56,"aptos2019-blindness-detection-privateleaderboard.csv",3459925,"[ods.ai] Eye of Providence",654800,"kromanov","kvr777","07/04/2016",2,2019-09-07 18:55:50,0.928007
57,"aptos2019-blindness-detection-privateleaderboard.csv",3348827,"d46kobayashi",2302233,"d46kobayashi","d46kobayashi","09/29/2018",2,2019-09-07 13:59:38,0.92785
64,"aptos2019-blindness-detection-privateleaderboard.csv",3339347,"2 AI ophthalmologists",282250,"tereka","tereka","01/16/2015",4,2019-09-06 14:03:07,0.927768
65,"aptos2019-blindness-detection-privateleaderboard.csv",3458076,"Loquat",2391815,"sinpcw","SiNpcw","10/22/2018",3,2019-09-07 12:54:39,0.927738
69,"aptos2019-blindness-detection-privateleaderboard.csv",3366548,"PVZ",170170,"pengyan","Eureka","02/28/2014",4,2019-09-07 21:49:13,0.927577
74,"aptos2019-blindness-detection-privateleaderboard.csv",3583930,"sskcv",1799650,"ideepwise","MarkAI","04/08/2018",2,2019-09-07 10:44:16,0.926919
76,"aptos2019-blindness-detection-privateleaderboard.csv",3348300,"[ods.ai] Sergey Genza",2109202,"archeus","Sergey Genza","07/29/2018",2,2019-09-07 17:46:25,0.926816
77,"aptos2019-blindness-detection-privateleaderboard.csv",3342955,"Amáranthos",1001530,"tahsin","Tahsin Mostafiz","04/02/2017",2,2019-09-07 19:39:18,0.926763
78,"aptos2019-blindness-detection-privateleaderboard.csv",3342955,"Amáranthos",2200649,"shajibghosh","Shajib Ghosh","09/01/2018",1,2019-09-07 19:39:18,0.926763
79,"aptos2019-blindness-detection-privateleaderboard.csv",3370622,"cholo model re shikhai",1532763,"mohammadzunaed","Mohammad Zunaed","01/05/2018",2,2019-09-07 21:11:19,0.926687
81,"aptos2019-blindness-detection-privateleaderboard.csv",3370622,"cholo model re shikhai",828945,"udaykamal","Uday Kamal","12/08/2016",2,2019-09-07 21:11:19,0.926687
82,"aptos2019-blindness-detection-privateleaderboard.csv",3355133,"Ceshine Lee",101136,"ceshine","Ceshine Lee","05/14/2013",3,2019-09-07 12:17:52,0.926647
83,"aptos2019-blindness-detection-privateleaderboard.csv",3341793,"Aizaki",2948499,"izktmys","Aizaki","03/16/2019",2,2019-09-07 12:04:49,0.92661
91,"aptos2019-blindness-detection-privateleaderboard.csv",3343917,"X5 CV Team NMSL",350936,"strideradu","Strideradu","05/12/2015",3,2019-09-07 17:18:54,0.92639
93,"aptos2019-blindness-detection-privateleaderboard.csv",3406315,"OrKatz & Dan",1094066,"orkatz2","OrKatz","05/26/2017",3,2019-09-05 05:44:30,0.926383
94,"aptos2019-blindness-detection-privateleaderboard.csv",3341994,"(0.0) Eyeing eyers",1556833,"valanm","Miroslav Valan","01/16/2018",2,2019-09-07 17:35:28,0.926355
95,"aptos2019-blindness-detection-privateleaderboard.csv",3382370,"Shuki Goto",1865152,"gossan","GOSS","04/28/2018",2,2019-09-06 12:09:42,0.925886
97,"aptos2019-blindness-detection-privateleaderboard.csv",3347236,"みかん🍊",1652138,"nagamine","icebee","02/20/2018",2,2019-09-07 13:45:45,0.92587
99,"aptos2019-blindness-detection-privateleaderboard.csv",3352380,"别延期了， 拯救我的眼睛。",2033774,"chanhu","Chanhu","07/01/2018",3,2019-09-07 08:26:26,0.925762
102,"aptos2019-blindness-detection-privateleaderboard.csv",3384827,"deja vu",1229186,"dejavu23","deja vu","08/23/2017",2,2019-09-07 09:59:35,0.925756
103,"aptos2019-blindness-detection-privateleaderboard.csv",3340312,"x0x0w1",629296,"x0x0w1","x0x0w1","05/31/2016",3,2019-09-07 05:59:08,0.925624
104,"aptos2019-blindness-detection-privateleaderboard.csv",3368467,"Climbing",2539582,"dldmw579","Wang Xinliang","11/26/2018",2,2019-09-07 08:34:32,0.925487
106,"aptos2019-blindness-detection-privateleaderboard.csv",3368467,"Climbing",1422757,"zxyu1995","zxyu","11/16/2017",2,2019-09-07 08:34:32,0.925487
108,"aptos2019-blindness-detection-privateleaderboard.csv",3340641,"[ods.ai] Wonderbolts",1511684,"spsancti","Borys Tymchenko","12/22/2017",3,2019-09-07 12:59:44,0.925466
109,"aptos2019-blindness-detection-privateleaderboard.csv",3340641,"[ods.ai] Wonderbolts",3492154,"spodarets","Dmitry Spodarets","07/22/2019",3,2019-09-07 12:59:44,0.925466
110,"aptos2019-blindness-detection-privateleaderboard.csv",3340641,"[ods.ai] Wonderbolts",1175150,"hakuryuu","Phil Marchenko","07/18/2017",2,2019-09-07 12:59:44,0.925466
112,"aptos2019-blindness-detection-privateleaderboard.csv",3341696,"See--",712087,"seesee","See--","09/11/2016",3,2019-09-07 15:33:22,0.925283
113,"aptos2019-blindness-detection-privateleaderboard.csv",3537646,"Lucky Stars",1470097,"yangddd","yangDDD","12/04/2017",3,2019-09-07 18:19:30,0.925245
115,"aptos2019-blindness-detection-privateleaderboard.csv",3350500,"~O^O~",2024827,"hustkevin1037","kevin","06/27/2018",3,2019-09-05 09:23:49,0.925172
116,"aptos2019-blindness-detection-privateleaderboard.csv",3350500,"~O^O~",1783307,"dongleeovo","donglee","04/03/2018",3,2019-09-05 09:23:49,0.925172
117,"aptos2019-blindness-detection-privateleaderboard.csv",3350500,"~O^O~",2242776,"littlebiglittle","dnfys","09/13/2018",2,2019-09-05 09:23:49,0.925172
118,"aptos2019-blindness-detection-privateleaderboard.csv",3350500,"~O^O~",1422172,"yuhaoliao","heizi","11/16/2017",0,2019-09-05 09:23:49,0.925172
123,"aptos2019-blindness-detection-privateleaderboard.csv",3377953,"DeepAnxiety",727580,"xiaojiu1414","DeepInvolution","09/25/2016",3,2019-09-07 12:38:52,0.924906
124,"aptos2019-blindness-detection-privateleaderboard.csv",3377953,"DeepAnxiety",837124,"abnerzhang","abnerzhang","12/15/2016",2,2019-09-07 12:38:52,0.924906
127,"aptos2019-blindness-detection-privateleaderboard.csv",3365321,"Peter & Lex",21102,"lextoumbourou","Lex Toumbourou","11/05/2011",3,2019-09-07 10:51:42,0.924678
128,"aptos2019-blindness-detection-privateleaderboard.csv",3351955,"TomTum",633667,"tomtum","TomTum","06/06/2016",1,2019-09-07 16:57:31,0.924511
129,"aptos2019-blindness-detection-privateleaderboard.csv",3501539,"ADekhovich",744589,"adekhovich","Aleksandr Dekhovich","10/08/2016",2,2019-09-05 08:32:51,0.924357
130,"aptos2019-blindness-detection-privateleaderboard.csv",3340666,"[ods.ai] Eye of Terror",407384,"drn01z3","n01z3","08/27/2015",4,2019-09-07 21:52:03,0.924114
132,"aptos2019-blindness-detection-privateleaderboard.csv",3339387,"Inoichan",1057275,"inoueu1","Inoichan","05/04/2017",4,2019-09-07 18:13:19,0.924088
135,"aptos2019-blindness-detection-privateleaderboard.csv",3593837,"[dsmlkz] all eyez on us",1025111,"nuller","Zhan Ik","04/15/2017",3,2019-09-07 15:49:24,0.924011
136,"aptos2019-blindness-detection-privateleaderboard.csv",3372779,"ishikei",1739577,"amanatsu","ishikei","03/20/2018",3,2019-09-07 12:14:32,0.923963
139,"aptos2019-blindness-detection-privateleaderboard.csv",3376737,"the fattest milly rock",1068279,"monodavids","Daithí O'Manacháin","05/10/2017",2,2019-09-07 23:14:32,0.923953
140,"aptos2019-blindness-detection-privateleaderboard.csv",3346016,"Nat Bel ML Fun",647078,"natbel4ml","Nat Bel ML Fun","06/22/2016",2,2019-09-07 14:53:36,0.923778
141,"aptos2019-blindness-detection-privateleaderboard.csv",3374751,"placeholder",921947,"taindow","Tom Aindow","02/20/2017",3,2019-09-07 14:30:01,0.923768
142,"aptos2019-blindness-detection-privateleaderboard.csv",3374751,"placeholder",761152,"rishabhiitbhu","Rishabh Agrahari","10/21/2016",2,2019-09-07 14:30:01,0.923768
144,"aptos2019-blindness-detection-privateleaderboard.csv",3522490,"Amil Gentili",1451372,"agentili","Amil Gentili","11/27/2017",2,2019-09-07 15:26:38,0.923745
145,"aptos2019-blindness-detection-privateleaderboard.csv",3351790,"steelrose",768505,"steelrose","steelrose","10/27/2016",2,2019-09-07 10:06:39,0.923564
146,"aptos2019-blindness-detection-privateleaderboard.csv",3340154,"Eye Catchers",1156413,"brightertiger","<^..^>","07/06/2017",3,2019-09-07 14:12:50,0.923517
147,"aptos2019-blindness-detection-privateleaderboard.csv",3340154,"Eye Catchers",1541812,"moizsaifee","Moiz Saifee","01/10/2018",3,2019-09-07 14:12:50,0.923517
148,"aptos2019-blindness-detection-privateleaderboard.csv",3340459,"[ods.ai] see",465880,"insaff","Insaf Ashrapov","11/13/2015",2,2019-09-07 17:57:30,0.923436
150,"aptos2019-blindness-detection-privateleaderboard.csv",3340459,"[ods.ai] see",1595389,"mnikita","Mishunyayev Nikita","01/30/2018",2,2019-09-07 17:57:30,0.923436
151,"aptos2019-blindness-detection-privateleaderboard.csv",3374221,"SEAvengers",2072261,"dathudeptrai","Nguyen Quan Anh Minh","07/16/2018",3,2019-09-07 08:00:49,0.923414
152,"aptos2019-blindness-detection-privateleaderboard.csv",3374221,"SEAvengers",1039460,"mathormad","KeepLearning","04/24/2017",4,2019-09-07 08:00:49,0.923414
153,"aptos2019-blindness-detection-privateleaderboard.csv",3374221,"SEAvengers",1364892,"ratthachat","Jung","10/27/2017",3,2019-09-07 08:00:49,0.923414
154,"aptos2019-blindness-detection-privateleaderboard.csv",3374221,"SEAvengers",1938879,"backaggle","automata","05/24/2018",3,2019-09-07 08:00:49,0.923414
157,"aptos2019-blindness-detection-privateleaderboard.csv",3518981,"Owl team",674553,"tanlikesmath","ilovescience","07/29/2016",4,2019-09-07 17:40:00,0.923205
160,"aptos2019-blindness-detection-privateleaderboard.csv",3397471,"Eye robot",273819,"jayjay75","jayjay","12/19/2014",3,2019-09-07 13:25:42,0.923166
161,"aptos2019-blindness-detection-privateleaderboard.csv",3397471,"Eye robot",1878085,"samshipengs","samshipengs","05/02/2018",2,2019-09-07 13:25:42,0.923166
163,"aptos2019-blindness-detection-privateleaderboard.csv",3397471,"Eye robot",18463,"mathurinache","Mathurin Aché","10/11/2011",3,2019-09-07 13:25:42,0.923166
166,"aptos2019-blindness-detection-privateleaderboard.csv",3438161,"Kiwon and Elephant",3436753,"quandapro","Quan","07/08/2019",2,2019-09-07 09:36:37,0.922902
173,"aptos2019-blindness-detection-privateleaderboard.csv",3431883,"[ka.kr] let there be light",193102,"ildoonet","Ildoo Kim","05/04/2014",3,2019-09-07 19:53:16,0.922689
174,"aptos2019-blindness-detection-privateleaderboard.csv",3431883,"[ka.kr] let there be light",173840,"soonhwankwon","Soonhwan Kwon","03/13/2014",2,2019-09-07 19:53:16,0.922689
180,"aptos2019-blindness-detection-privateleaderboard.csv",3497498,"Felipe Kitamura",876618,"felipekitamura","FelipeKitamura","01/20/2017",3,2019-09-06 14:36:48,0.92259
182,"aptos2019-blindness-detection-privateleaderboard.csv",3586254,"吃面不舍得加蛋",161283,"ryanzhang","Ren","02/01/2014",2,2019-09-07 17:22:52,0.922536
183,"aptos2019-blindness-detection-privateleaderboard.csv",3496584,"[ods.ai] Eye of Sauron",597945,"simakov","DmitryS","04/26/2016",3,2019-09-07 09:16:07,0.922504
188,"aptos2019-blindness-detection-privateleaderboard.csv",3505126,"天才美少女プログラマー",3539478,"yasagure","yasagure","08/02/2019",2,2019-09-07 03:53:43,0.922258
190,"aptos2019-blindness-detection-privateleaderboard.csv",3367087,"tiginkgo",1311081,"tiginkgo","ishtos","10/04/2017",3,2019-09-07 17:24:36,0.922249
191,"aptos2019-blindness-detection-privateleaderboard.csv",3429496,"ktr",1197187,"kcotton21","ktr","08/02/2017",3,2019-09-07 13:46:34,0.922206
193,"aptos2019-blindness-detection-privateleaderboard.csv",3339491,"Giba&Costas",54836,"titericz","Giba","08/23/2012",4,2019-09-07 17:11:02,0.922128
194,"aptos2019-blindness-detection-privateleaderboard.csv",3339491,"Giba&Costas",281494,"voglinio","Costas Voglis","01/14/2015",3,2019-09-07 17:11:02,0.922128
195,"aptos2019-blindness-detection-privateleaderboard.csv",3345088,"Takayoshi Makabe",2803989,"spidermandance","Takayoshi Makabe","02/11/2019",3,2019-09-07 06:35:58,0.922086
198,"aptos2019-blindness-detection-privateleaderboard.csv",3470841,"halp",3421363,"andrewlee18","alee","07/03/2019",2,2019-09-07 07:01:49,0.921784
202,"aptos2019-blindness-detection-privateleaderboard.csv",3355370,"Toru Ito",1413386,"iru538","Toru Ito","11/13/2017",3,2019-09-07 17:27:11,0.921693
206,"aptos2019-blindness-detection-privateleaderboard.csv",3340591,"Ouranos",219107,"ouranos","Ouranos","07/26/2014",4,2019-09-07 16:56:41,0.921525
207,"aptos2019-blindness-detection-privateleaderboard.csv",3344335,"Bruno G. do Amaral",232403,"bguberfain","Bruno G. do Amaral","09/02/2014",3,2019-09-07 21:06:02,0.921506
209,"aptos2019-blindness-detection-privateleaderboard.csv",3340555,"Yoshihiro Nishizono",2647898,"ynishizono","Yoshihiro Nishizono","12/26/2018",3,2019-09-07 00:01:28,0.921346
210,"aptos2019-blindness-detection-privateleaderboard.csv",3419280,"Nishi yasu",2709829,"nishisan","Nishi yasu","01/16/2019",2,2019-09-07 09:46:38,0.921309
212,"aptos2019-blindness-detection-privateleaderboard.csv",3376404,"CC",1319836,"taochen217","tao.chen","10/08/2017",2,2019-09-07 19:55:01,0.921213
214,"aptos2019-blindness-detection-privateleaderboard.csv",3595994,"jayjhlin",3640195,"jayjhlin","jayjhlin","08/29/2019",2,2019-09-07 20:11:10,0.921104
215,"aptos2019-blindness-detection-privateleaderboard.csv",3371838,"AllMight",1286006,"emotionevil","Ghost.X","09/23/2017",3,2019-09-04 00:53:51,0.921084
216,"aptos2019-blindness-detection-privateleaderboard.csv",3405564,"gumigumi4f",2301181,"gumigumi4f","gumigumi4f","09/29/2018",2,2019-09-07 11:11:33,0.921078
218,"aptos2019-blindness-detection-privateleaderboard.csv",3377481,"huynth",1900331,"huynth","HuyD.","05/10/2018",1,2019-08-21 11:39:40,0.920985
220,"aptos2019-blindness-detection-privateleaderboard.csv",3341573,"2xAlexander",155232,"dsalex","Oleksander Ponomarchuk","01/04/2014",3,2019-09-07 12:35:27,0.920982
221,"aptos2019-blindness-detection-privateleaderboard.csv",3341573,"2xAlexander",2149699,"boykoaa","ABoyko","08/13/2018",2,2019-09-07 12:35:27,0.920982
223,"aptos2019-blindness-detection-privateleaderboard.csv",3339660,"Tom",1565399,"tikutiku","Tom","01/19/2018",4,2019-08-31 02:12:16,0.920934
225,"aptos2019-blindness-detection-privateleaderboard.csv",3351591,"Unagii",1073879,"rafzy15","rafzy","05/14/2017",1,2019-09-07 20:59:49,0.920858
227,"aptos2019-blindness-detection-privateleaderboard.csv",3341944,"Spottyfeye",67142,"izmaylov","Izmaylov Konstantin","11/02/2012",3,2019-09-07 21:52:11,0.920746
228,"aptos2019-blindness-detection-privateleaderboard.csv",3341944,"Spottyfeye",2755695,"ivanpan","Ivan Panshin","01/29/2019",3,2019-09-07 21:52:11,0.920746
229,"aptos2019-blindness-detection-privateleaderboard.csv",3341944,"Spottyfeye",1183600,"atanasova","Atanas Atanasov","07/24/2017",3,2019-09-07 21:52:11,0.920746
230,"aptos2019-blindness-detection-privateleaderboard.csv",3357725,"hn5311",1833057,"hn5311","hn5311","04/18/2018",0,2019-09-07 20:24:14,0.920659
232,"aptos2019-blindness-detection-privateleaderboard.csv",3359543,"sneffort",865023,"sneffort","sneffort","01/12/2017",2,2019-09-07 11:10:18,0.920581
233,"aptos2019-blindness-detection-privateleaderboard.csv",3471920,"payT",2863571,"payert","TPayer","02/26/2019",2,2019-09-07 16:42:31,0.920577
234,"aptos2019-blindness-detection-privateleaderboard.csv",3342294,"dannadori",3182191,"dannadori","dannadori","05/05/2019",2,2019-09-07 20:34:51,0.92057
235,"aptos2019-blindness-detection-privateleaderboard.csv",3341648,"rinnqdTN",1786637,"rinnqd","Firas Baba","04/04/2018",3,2019-09-07 20:22:37,0.920568
236,"aptos2019-blindness-detection-privateleaderboard.csv",3339200,"Salil Mishra",1173254,"salilm23","Salil Mishra","07/17/2017",2,2019-09-07 17:54:30,0.920536
238,"aptos2019-blindness-detection-privateleaderboard.csv",3512993,"Lost Stars5",2150243,"loststars5","Lost Stars5","08/14/2018",2,2019-09-07 15:55:41,0.920533
239,"aptos2019-blindness-detection-privateleaderboard.csv",3340746,"KazAnova",111640,"kazanova","Μαριος Μιχαηλιδης KazAnova","06/24/2013",4,2019-09-07 07:54:55,0.920528
240,"aptos2019-blindness-detection-privateleaderboard.csv",3340244,"[DSI] dont optimize",5309,"abhishek","Abhishek Thakur","01/12/2011",4,2019-08-25 14:03:32,0.920511
241,"aptos2019-blindness-detection-privateleaderboard.csv",3340244,"[DSI] dont optimize",2036,"konradb","Konrad Banachewicz","08/03/2010",4,2019-08-25 14:03:32,0.920511
243,"aptos2019-blindness-detection-privateleaderboard.csv",3578406,"Luca Massaron",19298,"lucamassaron","Luca Massaron","10/26/2011",4,2019-09-07 09:01:04,0.920504
248,"aptos2019-blindness-detection-privateleaderboard.csv",3465355,"TensorTech",16303,"wantowin","JBR","09/12/2011",0,2019-09-07 14:05:29,0.920107
250,"aptos2019-blindness-detection-privateleaderboard.csv",3341439,"Twl_machida",1029470,"liuzhangzhen","liuzhangzhen","04/18/2017",2,2019-09-07 06:32:52,0.920068
251,"aptos2019-blindness-detection-privateleaderboard.csv",3338980,"Konstantin Gavrilchik",772323,"dempton","Konstantin Gavrilchik","10/30/2016",4,2019-09-06 11:48:59,0.919955
252,"aptos2019-blindness-detection-privateleaderboard.csv",3350502,"Manuel Campos",1454111,"coreacasa","Manuel Campos","11/28/2017",3,2019-09-07 15:48:41,0.919928
255,"aptos2019-blindness-detection-privateleaderboard.csv",3371280,"Puck Wang",1501167,"gmhost","Kɔuq Wang","12/17/2017",3,2019-09-07 14:31:36,0.919654
257,"aptos2019-blindness-detection-privateleaderboard.csv",3478940,"heretop",984483,"heretop","heretop","03/23/2017",2,2019-09-05 08:11:31,0.919563
263,"aptos2019-blindness-detection-privateleaderboard.csv",3351747,"Olivier St-Amand",2750422,"ostamand","Olivier St-Amand","01/27/2019",2,2019-08-14 18:17:45,0.919494
264,"aptos2019-blindness-detection-privateleaderboard.csv",3388431,"LXYTSOS",401985,"lxytsos","LXYTSOS","08/18/2015",2,2019-09-05 01:24:32,0.919477
267,"aptos2019-blindness-detection-privateleaderboard.csv",3594024,"MA Junyi",999864,"majunyi","MA Junyi","04/01/2017",2,2019-09-07 15:44:09,0.919285
278,"aptos2019-blindness-detection-privateleaderboard.csv",3346280,"neongen",595758,"neongen","neongen","04/24/2016",3,2019-09-05 18:22:53,0.919144
279,"aptos2019-blindness-detection-privateleaderboard.csv",3340263,"Andriy Yaroshevskiy",2043523,"ayaroshevskiy","Andriy Yaroshevskiy","07/04/2018",3,2019-09-06 06:15:49,0.919126
280,"aptos2019-blindness-detection-privateleaderboard.csv",3346893,"Antoniu Gugu",2540799,"antoniu","Antoniu Gugu","11/26/2018",3,2019-09-07 16:55:09,0.919108
281,"aptos2019-blindness-detection-privateleaderboard.csv",3348866,"DimitreOliveira",1182060,"dimitreoliveira","DimitreOliveira","07/23/2017",4,2019-09-07 19:47:32,0.919073
284,"aptos2019-blindness-detection-privateleaderboard.csv",3340690,"Born to sleep",1626653,"hirune924","hirune924","02/10/2018",3,2019-09-07 09:52:40,0.918999
285,"aptos2019-blindness-detection-privateleaderboard.csv",3340125,"Ilia",951222,"ilialar","Ilia Larchenko","03/08/2017",3,2019-09-07 10:54:24,0.918914
288,"aptos2019-blindness-detection-privateleaderboard.csv",3453486,"RakeshNikam",591345,"rakeshds","RakeshNikam","04/19/2016",2,2019-09-07 20:34:23,0.918759
289,"aptos2019-blindness-detection-privateleaderboard.csv",3470564,"Taegwan Kim",948283,"kimtaegwan","Taegwan Kim","03/08/2017",2,2019-09-07 15:44:52,0.91871
293,"aptos2019-blindness-detection-privateleaderboard.csv",3392680,"[muen]doriskao",765536,"doriskao","doriskao","10/25/2016",0,2019-09-05 13:28:44,0.918637
297,"aptos2019-blindness-detection-privateleaderboard.csv",3478438,"[ods.ai] eye2eye",2278825,"paniquex","Nikita Kuzmin","09/23/2018",2,2019-09-07 19:34:54,0.91859
298,"aptos2019-blindness-detection-privateleaderboard.csv",3478438,"[ods.ai] eye2eye",1733489,"betterthanbutter","BetterThanButter","03/18/2018",2,2019-09-07 19:34:54,0.91859
301,"aptos2019-blindness-detection-privateleaderboard.csv",3365738,"[ods.ai] Vassily Baranov",1626686,"vassilybar","Vassily Baranov","02/10/2018",2,2019-09-07 16:30:02,0.918581
303,"aptos2019-blindness-detection-privateleaderboard.csv",3340385,"[BUPT-SEE]CNCV",2694219,"lab223","Bohanlee","01/11/2019",1,2019-09-07 07:25:30,0.918274
308,"aptos2019-blindness-detection-privateleaderboard.csv",3346231,"gravity",1148850,"suchith0312","abccba","06/30/2017",3,2019-09-07 17:26:24,0.918167
311,"aptos2019-blindness-detection-privateleaderboard.csv",3382531,"andrekos",35830,"andrekos","andrekos","03/19/2012",2,2019-08-27 12:27:32,0.918062
312,"aptos2019-blindness-detection-privateleaderboard.csv",3350140,"Noobs",1468028,"rednivrug","rednivrug","12/03/2017",2,2019-09-06 15:43:23,0.917956
313,"aptos2019-blindness-detection-privateleaderboard.csv",3350140,"Noobs",530753,"abhinav1992","AbhinavAgrawal","02/16/2016",0,2019-09-06 15:43:23,0.917956
314,"aptos2019-blindness-detection-privateleaderboard.csv",3350140,"Noobs",1269247,"vishwa34","Vishwa34","09/15/2017",1,2019-09-06 15:43:23,0.917956
315,"aptos2019-blindness-detection-privateleaderboard.csv",3350140,"Noobs",787288,"monsterspy","Arjun","11/10/2016",2,2019-09-06 15:43:23,0.917956
318,"aptos2019-blindness-detection-privateleaderboard.csv",3393668,"Bon Intelli",2787455,"glaskosk","Bon Intelli","02/06/2019",2,2019-09-07 00:51:34,0.917918
320,"aptos2019-blindness-detection-privateleaderboard.csv",3560207,"keleas",2424195,"keleas","keleas","10/29/2018",2,2019-09-04 11:58:51,0.917869
322,"aptos2019-blindness-detection-privateleaderboard.csv",3412077,"QuantumMunich",3469086,"ahmedomran","Ahmed Omran","07/16/2019",1,2019-08-30 21:10:46,0.917829
325,"aptos2019-blindness-detection-privateleaderboard.csv",3360283,"Federico & Claudio",2411547,"fanconic","Claudio Fanconi","10/26/2018",2,2019-09-07 12:59:49,0.917737
